"Variable","Data_Type"
"session_swing","character"
"session_mass_lbs","numeric"
"session_height_in","numeric"
"athlete_age","integer"
"highest_playing_level","character"
"hitter_side","character"
"bat_weight_oz","numeric"
"bat_length_in","numeric"
"bat_speed_mph_max_x","numeric"
"blast_bat_speed_mph_x","numeric"
"exit_velo_mph_x","numeric"
"user","integer"
"session","integer"
"bat_speed_mph_contact_x","numeric"
"sweet_spot_velo_mph_contact_x","numeric"
"sweet_spot_velo_mph_contact_y","numeric"
"sweet_spot_velo_mph_contact_z","numeric"
"bat_torso_angle_connection_x","numeric"
"attack_angle_contact_x","numeric"
"bat_speed_xy_max_x","numeric"
"bat_torso_angle_ds_x","numeric"
"bat_torso_angle_ds_z","numeric"
"hand_speed_blast_bat_mph_max_x","numeric"
"hand_speed_mag_max_x","numeric"
"pelvis_angle_fm_x","numeric"
"pelvis_angle_fm_y","numeric"
"pelvis_angle_fm_z","numeric"
"pelvis_angle_fp_x","numeric"
"pelvis_angle_fp_y","numeric"
"pelvis_angle_fp_z","numeric"
"pelvis_angle_hs_x","numeric"
"pelvis_angle_hs_y","numeric"
"pelvis_angle_hs_z","numeric"
"torso_angle_fm_x","numeric"
"torso_angle_fm_y","numeric"
"torso_angle_fm_z","numeric"
"torso_angle_fp_x","numeric"
"torso_angle_fp_y","numeric"
"torso_angle_fp_z","numeric"
"torso_angle_hs_x","numeric"
"torso_angle_hs_y","numeric"
"torso_angle_hs_z","numeric"
"upper_arm_speed_mag_max_x","numeric"
"x_factor_fm_x","numeric"
"x_factor_fm_y","numeric"
"x_factor_fm_z","numeric"
"x_factor_fp_x","numeric"
"x_factor_fp_y","numeric"
"x_factor_fp_z","numeric"
"bat_max_x","numeric"
"bat_min_x","numeric"
"hand_speed_mag_fm_x","numeric"
"hand_speed_mag_fp_x","numeric"
"hand_speed_mag_maxhss_x","numeric"
"hand_speed_mag_stride_max_velo_x","numeric"
"hand_speed_mag_swing_max_velo_x","numeric"
"lead_knee_launchpos_x","numeric"
"lead_knee_stride_max_x","numeric"
"lead_wrist_fm_x","numeric"
"lead_wrist_swing_max_x","numeric"
"pelvis_angular_velocity_fm_x","numeric"
"pelvis_angular_velocity_fp_x","numeric"
"pelvis_angular_velocity_maxhss_x","numeric"
"pelvis_angular_velocity_seq_max_x","numeric"
"pelvis_angular_velocity_stride_max_x","numeric"
"pelvis_fm_x","numeric"
"pelvis_fm_z","numeric"
"pelvis_launchpos_x","numeric"
"pelvis_launchpos_z","numeric"
"pelvis_loadedpos_x","numeric"
"pelvis_load_max_x","numeric"
"pelvis_stride_max_x","numeric"
"pelvis_stride_max_y","numeric"
"pelvis_stride_max_z","numeric"
"pelvis_swing_max_x","numeric"
"pelvis_swing_max_y","numeric"
"pelvis_swing_max_z","numeric"
"rear_elbow_fm_x","numeric"
"rear_elbow_fm_z","numeric"
"rear_elbow_launchpos_x","numeric"
"rear_elbow_stride_max_x","numeric"
"rear_elbow_stride_max_z","numeric"
"rear_elbow_swing_max_x","numeric"
"rear_elbow_swing_max_z","numeric"
"rear_hip_launchpos_x","numeric"
"rear_hip_stride_max_x","numeric"
"rear_hip_stride_max_y","numeric"
"rear_hip_stride_max_z","numeric"
"rear_shoulder_launchpos_x","numeric"
"rear_shoulder_stride_max_x","numeric"
"rear_shoulder_stride_max_y","numeric"
"rear_shoulder_stride_max_z","numeric"
"torso_angular_velocity_fm_x","numeric"
"torso_angular_velocity_fp_x","numeric"
"torso_angular_velocity_maxhss_x","numeric"
"torso_angular_velocity_stride_max_x","numeric"
"torso_angular_velocity_seq_max_x","numeric"
"torso_fm_x","numeric"
"torso_fm_z","numeric"
"torso_launchpos_x","numeric"
"torso_launchpos_z","numeric"
"torso_loadedpos_x","numeric"
"torso_load_max_x","numeric"
"torso_pelvis_loadedpos_x","numeric"
"torso_pelvis_load_max_x","numeric"
"torso_pelvis_stride_max_x","numeric"
"torso_pelvis_stride_max_y","numeric"
"torso_pelvis_stride_max_z","numeric"
"torso_pelvis_swing_max_x","numeric"
"torso_stride_max_x","numeric"
"torso_stride_max_y","numeric"
"torso_stride_max_z","numeric"
"torso_swing_max_x","numeric"
"torso_swing_max_y","numeric"
"torso_swing_max_z","numeric"
"upper_arm_speed_mag_fm_x","numeric"
"upper_arm_speed_mag_fp_x","numeric"
"upper_arm_speed_mag_maxhss_x","numeric"
"upper_arm_speed_mag_stride_max_velo_x","numeric"
"x_factor_hs_x","numeric"
"x_factor_hs_y","numeric"
"x_factor_hs_z","numeric"
"max_cog_velo_x","numeric"
"pitch","numeric"
"strike_zone","numeric"
"la","integer"
"dist","integer"
"res","character"
"bearing","integer"
"vertical_distance","numeric"
"horizontal_distance","numeric"
"poi_x","numeric"
"poi_y","numeric"
"poi_z","numeric"
"pitch_angle","numeric"
