Model,Technique,Val_R2,Val_RMSE,Val_MAE,Val_MedianAE,Test_R2,Test_RMSE,Test_MAE,Test_MedianAE
force_model,rf,0.1809496767910821,4.5057767935783355,3.499796774193547,2.6584499999997107,-0.4312376767242483,5.212249235787633,3.8667822580645694,2.6012500000004337
upper_body_model,rf,0.7980545568620008,2.237337025601809,1.7275935483870846,1.2156500000004868,0.6530049186133129,2.5664390430975805,1.9848193548387676,1.4702499999995666
lower_body_model,rf,0.7355818576327152,2.5601181338040093,1.9831580645161009,1.725049999999861,0.6766294474378952,2.4775334602407857,1.866472580645128,1.373349999999867
full_model,rf,0.8353808368561257,2.020014912991921,1.5606935483870834,1.3309499999997811,0.7761541220994684,2.061312537735614,1.6200887096774585,1.3102999999996001
force_model,elasticnet,0.18177336969471336,4.5035105653394485,3.723645286486322,3.2081079677974813,-0.00920378470088501,4.376820434798365,3.5337729727098894,2.8513444539068473
upper_body_model,elasticnet,0.6827470017082026,2.8042533573698587,2.291672735195407,2.0381670935136,0.5488581234227887,2.9263472861616395,2.4422985888374704,2.249003721412329
lower_body_model,elasticnet,0.20977469784968406,4.425780250750381,3.567264839216327,2.9470955264563017,0.2817841735836759,3.692298293947973,2.995690102383356,2.569724344658077
full_model,elasticnet,0.706002137302241,2.699519490954269,2.1809376866526695,1.9453296338998882,0.6018695824626741,2.7490457902423713,2.2324103060948564,2.1177747658467183
force_model,gam,0.26635204078342245,4.26440297637639,3.478855694843208,3.25148356912122,-0.053933449738660766,4.472763017513607,3.4980549092796234,2.378327998891983
upper_body_model,gam,0.7520111865328813,2.479307683067141,2.0454683139577345,1.8103007404974676,0.7171781203334444,2.3169987331228015,1.762456651276884,1.2487370184535678
lower_body_model,gam,0.588956172442394,3.191967394158882,2.620538721449417,2.5917526549345453,0.4510102233512713,3.2281330239177906,2.5961469841824623,1.9737622833724018
full_model,gam,0.8331054804230312,2.033927267952587,1.6734300260262114,1.6025892374227766,0.7530293479763144,2.1651698371378614,1.8171968600360422,1.674939271506041
force_model,mlp,0.30259709067075535,4.157729762029952,3.32823407581498,3.3816620526440744,-0.07794995165180518,4.523437487288669,3.496820036121933,2.4121972932755185
upper_body_model,mlp,0.7496457023048175,2.491104271652744,2.1066500767692635,1.9615989151255917,0.6334087670478006,2.637912169760584,2.16731518153611,1.9289868324869346
lower_body_model,mlp,0.33119129008298276,4.071602206474875,3.257186480677265,2.563555311552392,0.42848215887469776,3.2937011417544007,2.62629035910226,2.2943275335366096
full_model,mlp,0.28838582127124046,4.199878021790608,3.2600707513357046,2.6324662170303768,-0.6019158088346188,5.514284104017324,4.1531447084846755,3.1522100361726544
