variable,p_value,normal_distribution
session,5.34500026961697e-23,FALSE
pitch_speed_mph,1.1751270903914701e-05,FALSE
max_shoulder_internal_rotational_velo,4.835772779188119e-05,FALSE
max_elbow_extension_velo,0.24773940443992615,TRUE
max_torso_rotational_velo,8.563480514567345e-05,FALSE
max_rotation_hip_shoulder_separation,0.3962498605251312,TRUE
max_elbow_flexion,0.003809534,FALSE
max_shoulder_external_rotation,0.000652175,FALSE
elbow_flexion_fp,0.003472441,FALSE
elbow_pronation_fp,0.013416686095297337,FALSE
rotation_hip_shoulder_separation_fp,0.41589537262916565,TRUE
shoulder_horizontal_abduction_fp,5.440738277684432e-07,FALSE
shoulder_abduction_fp,0.021847596392035484,FALSE
shoulder_external_rotation_fp,0.9010521173477173,TRUE
lead_knee_extension_angular_velo_fp,0.00604987,FALSE
lead_knee_extension_angular_velo_br,1.2821386174977079e-09,FALSE
lead_knee_extension_angular_velo_max,3.250275382171708e-09,FALSE
torso_anterior_tilt_fp,0.081961334,TRUE
torso_lateral_tilt_fp,0.080145009,TRUE
torso_rotation_fp,2.4853170543792658e-06,FALSE
pelvis_anterior_tilt_fp,0.065154709,TRUE
pelvis_lateral_tilt_fp,0.002544697,FALSE
pelvis_rotation_fp,0.030625319108366966,FALSE
max_cog_velo_x,2.637833858898375e-06,FALSE
torso_rotation_min,7.595372941704426e-11,FALSE
max_pelvis_rotational_velo,2.798890136546106e-06,FALSE
glove_shoulder_horizontal_abduction_fp,0.001092533,FALSE
glove_shoulder_abduction_fp,0.000398863,FALSE
glove_shoulder_external_rotation_fp,5.818199966256543e-08,FALSE
glove_shoulder_abduction_mer,0.000120434,FALSE
elbow_flexion_mer,0.029307380318641663,FALSE
torso_anterior_tilt_mer,0.015364455059170723,FALSE
torso_lateral_tilt_mer,0.040658839,FALSE
torso_rotation_mer,0.014367362,FALSE
elbow_varus_moment,1.943409870364121e-06,FALSE
shoulder_internal_rotation_moment,0.000117552,FALSE
torso_anterior_tilt_br,0.00504195,FALSE
torso_lateral_tilt_br,0.001521846,FALSE
torso_rotation_br,0.055935632437467575,TRUE
lead_knee_extension_from_fp_to_br,1.3215191074777977e-07,FALSE
cog_velo_pkh,0.000134982,FALSE
stride_length,0.010734516195952892,FALSE
stride_angle,0.000249157,FALSE
arm_slot,0.003374752,FALSE
timing_peak_torso_to_peak_pelvis_rot_velo,4.605194837559308e-23,FALSE
max_shoulder_horizontal_abduction,6.767166632926092e-05,FALSE
shoulder_transfer_fp_br,0.001339122,FALSE
shoulder_generation_fp_br,1.6598890317798265e-10,FALSE
shoulder_absorption_fp_br,2.0966962541169032e-11,FALSE
elbow_transfer_fp_br,0.001834932,FALSE
elbow_generation_fp_br,1.3649260435710627e-20,FALSE
elbow_absorption_fp_br,0.017585886642336845,FALSE
lead_hip_transfer_fp_br,4.104917360886473e-12,FALSE
lead_hip_generation_fp_br,7.25931605313263e-21,FALSE
lead_hip_absorption_fp_br,0.005469962,FALSE
lead_knee_transfer_fp_br,3.016337046801709e-08,FALSE
lead_knee_generation_fp_br,7.513353921240196e-07,FALSE
lead_knee_absorption_fp_br,1.197710807815787e-16,FALSE
rear_hip_transfer_pkh_fp,2.9629347864101874e-07,FALSE
rear_hip_generation_pkh_fp,0.41207054257392883,TRUE
rear_hip_absorption_pkh_fp,1.5624272708958387e-10,FALSE
rear_knee_transfer_pkh_fp,2.5009435169510985e-13,FALSE
rear_knee_generation_pkh_fp,3.37555265857159e-12,FALSE
rear_knee_absorption_pkh_fp,7.80319023760967e-05,FALSE
pelvis_lumbar_transfer_fp_br,4.973623442662255e-20,FALSE
thorax_distal_transfer_fp_br,0.000372123,FALSE
rear_grf_x_max,0.0001007,FALSE
rear_grf_y_max,2.3803567450464413e-10,FALSE
rear_grf_z_max,0.00014541,FALSE
rear_grf_mag_max,5.364805133467598e-07,FALSE
rear_grf_angle_at_max,9.31760094427525e-13,FALSE
lead_grf_x_max,0.000178066,FALSE
lead_grf_y_max,1.4239948391116058e-15,FALSE
lead_grf_z_max,4.344368628402852e-14,FALSE
lead_grf_mag_max,6.3553134976857e-11,FALSE
lead_grf_angle_at_max,8.949924813350663e-05,FALSE
peak_rfd_rear,8.538844702487645e-37,FALSE
peak_rfd_lead,8.250508149482068e-37,FALSE
user,2.716577453897783e-19,FALSE
session_mass_kg,8.216633432311937e-06,FALSE
session_height_m,1.0313400480299606e-06,FALSE
age_yrs,2.8923085172542773e-13,FALSE
imputed_flag,9.199524418292424e-40,FALSE
