index,Outlier_Count
session_outlier,0
pitch_speed_mph_outlier,4
max_shoulder_internal_rotational_velo_outlier,2
max_elbow_extension_velo_outlier,0
max_torso_rotational_velo_outlier,6
max_rotation_hip_shoulder_separation_outlier,0
max_elbow_flexion_outlier,3
max_shoulder_external_rotation_outlier,1
elbow_flexion_fp_outlier,4
elbow_pronation_fp_outlier,9
rotation_hip_shoulder_separation_fp_outlier,1
shoulder_horizontal_abduction_fp_outlier,5
shoulder_abduction_fp_outlier,3
shoulder_external_rotation_fp_outlier,2
lead_knee_extension_angular_velo_fp_outlier,6
lead_knee_extension_angular_velo_br_outlier,10
lead_knee_extension_angular_velo_max_outlier,4
torso_anterior_tilt_fp_outlier,0
torso_lateral_tilt_fp_outlier,0
torso_rotation_fp_outlier,12
pelvis_anterior_tilt_fp_outlier,0
pelvis_lateral_tilt_fp_outlier,9
pelvis_rotation_fp_outlier,9
max_cog_velo_x_outlier,7
torso_rotation_min_outlier,15
max_pelvis_rotational_velo_outlier,6
glove_shoulder_horizontal_abduction_fp_outlier,27
glove_shoulder_abduction_fp_outlier,7
glove_shoulder_external_rotation_fp_outlier,14
glove_shoulder_abduction_mer_outlier,5
elbow_flexion_mer_outlier,12
torso_anterior_tilt_mer_outlier,0
torso_lateral_tilt_mer_outlier,0
torso_rotation_mer_outlier,2
elbow_varus_moment_outlier,5
shoulder_internal_rotation_moment_outlier,5
torso_anterior_tilt_br_outlier,0
torso_lateral_tilt_br_outlier,0
torso_rotation_br_outlier,0
lead_knee_extension_from_fp_to_br_outlier,9
cog_velo_pkh_outlier,5
stride_length_outlier,1
stride_angle_outlier,0
arm_slot_outlier,8
timing_peak_torso_to_peak_pelvis_rot_velo_outlier,30
max_shoulder_horizontal_abduction_outlier,1
shoulder_transfer_fp_br_outlier,0
shoulder_generation_fp_br_outlier,13
shoulder_absorption_fp_br_outlier,9
elbow_transfer_fp_br_outlier,0
elbow_generation_fp_br_outlier,21
elbow_absorption_fp_br_outlier,2
lead_hip_transfer_fp_br_outlier,7
lead_hip_generation_fp_br_outlier,22
lead_hip_absorption_fp_br_outlier,3
lead_knee_transfer_fp_br_outlier,4
lead_knee_generation_fp_br_outlier,8
lead_knee_absorption_fp_br_outlier,16
rear_hip_transfer_pkh_fp_outlier,9
rear_hip_generation_pkh_fp_outlier,0
rear_hip_absorption_pkh_fp_outlier,7
rear_knee_transfer_pkh_fp_outlier,18
rear_knee_generation_pkh_fp_outlier,9
rear_knee_absorption_pkh_fp_outlier,0
pelvis_lumbar_transfer_fp_br_outlier,17
thorax_distal_transfer_fp_br_outlier,0
rear_grf_x_max_outlier,15
rear_grf_y_max_outlier,8
rear_grf_z_max_outlier,12
rear_grf_mag_max_outlier,26
rear_grf_angle_at_max_outlier,7
lead_grf_x_max_outlier,8
lead_grf_y_max_outlier,16
lead_grf_z_max_outlier,24
lead_grf_mag_max_outlier,15
lead_grf_angle_at_max_outlier,14
peak_rfd_rear_outlier,46
peak_rfd_lead_outlier,40
user_outlier,0
session_mass_kg_outlier,3
session_height_m_outlier,0
age_yrs_outlier,5
imputed_flag_outlier,8
