Variable,VIF
shoulder_transfer_fp_br,68.15732276863827
shoulder_internal_rotation_moment,59.15909804893082
elbow_varus_moment,54.72240356225962
thorax_distal_transfer_fp_br,43.49976570886599
elbow_transfer_fp_br,20.239247129819756
torso_anterior_tilt_br,17.284045931606016
torso_anterior_tilt_mer,15.749159786616202
max_elbow_flexion,4.870928737327643
rear_grf_x_max,4.496587559766924
rear_grf_mag_max,4.287432886456874
shoulder_horizontal_abduction_fp,4.138624674212346
elbow_flexion_fp,4.1376738959354356
max_shoulder_horizontal_abduction,4.019250301623244
max_shoulder_external_rotation,2.704650762054832
torso_lateral_tilt_br,2.5301974141506482
max_torso_rotational_velo,2.2881565635616723
max_shoulder_internal_rotational_velo,1.8434261276283503
glove_shoulder_external_rotation_fp,1.7776124697494786
pelvis_anterior_tilt_fp,1.5975250230716354
