team_id,team_name,team_abbr,league,division
137,San Francisco Giants,SF,National League,National League West
135,San Diego Padres,SD,National League,National League West
160,National League All-Stars,NL,National League,Unknown Division
119,Los Angeles Dodgers,LAD,National League,National League West
109,Arizona Diamondbacks,AZ,National League,National League West
113,Cincinnati Reds,CIN,National League,National League Central
140,Texas Rangers,TEX,American League,American League West
134,Pittsburgh Pirates,PIT,National League,National League Central
114,Cleveland Guardians,CLE,American League,American League Central
146,Miami Marlins,MIA,National League,National League East
138,St. Louis Cardinals,STL,National League,National League Central
142,Minnesota Twins,MIN,American League,American League Central
118,Kansas City Royals,KC,American League,American League Central
111,Boston Red Sox,BOS,American League,American League East
115,Colorado Rockies,COL,National League,National League West
143,Philadelphia Phillies,PHI,National League,National League East
141,Toronto Blue Jays,TOR,American League,American League East
144,Atlanta Braves,ATL,National League,National League East
133,Oakland Athletics,OAK,American League,American League West
120,Washington Nationals,WSH,National League,National League East
147,New York Yankees,NYY,American League,American League East
139,Tampa Bay Rays,TB,American League,American League East
108,Los Angeles Angels,LAA,American League,American League West
158,Milwaukee Brewers,MIL,National League,National League Central
159,American League All-Stars,AL,American League,Unknown Division
145,Chicago White Sox,CWS,American League,American League Central
117,Houston Astros,HOU,American League,American League West
110,Baltimore Orioles,BAL,American League,American League East
116,Detroit Tigers,DET,American League,American League Central
112,Chicago Cubs,CHC,National League,National League Central
121,New York Mets,NYM,National League,National League East
136,Seattle Mariners,SEA,American League,American League West
115,Colorado Rockies,COL,National League,National League West
145,Chicago White Sox,CWS,American League,American League Central
160,National League All-Stars,NL,National League,Unknown Division
141,Toronto Blue Jays,TOR,American League,American League East
133,Oakland Athletics,OAK,American League,American League West
119,Los Angeles Dodgers,LAD,National League,National League West
118,Kansas City Royals,KC,American League,American League Central
109,Arizona Diamondbacks,AZ,National League,National League West
138,St. Louis Cardinals,STL,National League,National League Central
120,Washington Nationals,WSH,National League,National League East
113,Cincinnati Reds,CIN,National League,National League Central
142,Minnesota Twins,MIN,American League,American League Central
111,Boston Red Sox,BOS,American League,American League East
159,American League All-Stars,AL,American League,Unknown Division
136,Seattle Mariners,SEA,American League,American League West
134,Pittsburgh Pirates,PIT,National League,National League Central
143,Philadelphia Phillies,PHI,National League,National League East
110,Baltimore Orioles,BAL,American League,American League East
147,New York Yankees,NYY,American League,American League East
116,Detroit Tigers,DET,American League,American League Central
112,Chicago Cubs,CHC,National League,National League Central
108,Los Angeles Angels,LAA,American League,American League West
117,Houston Astros,HOU,American League,American League West
135,San Diego Padres,SD,National League,National League West
114,Cleveland Guardians,CLE,American League,American League Central
146,Miami Marlins,MIA,National League,National League East
144,Atlanta Braves,ATL,National League,National League East
158,Milwaukee Brewers,MIL,National League,National League Central
140,Texas Rangers,TEX,American League,American League West
121,New York Mets,NYM,National League,National League East
139,Tampa Bay Rays,TB,American League,American League East
137,San Francisco Giants,SF,National League,National League West
