venue_id,venue_name,location
2889,Busch Stadium,"Unknown City, Unknown State"
3313,Yankee Stadium,"Unknown City, Unknown State"
3309,Nationals Park,"Unknown City, Unknown State"
1,Angel Stadium,"Unknown City, Unknown State"
17,Wrigley Field,"Unknown City, Unknown State"
2,Oriole Park at Camden Yards,"Unknown City, Unknown State"
2680,Petco Park,"Unknown City, Unknown State"
2392,Minute Maid Park,"Unknown City, Unknown State"
3312,Target Field,"Unknown City, Unknown State"
5,Progressive Field,"Unknown City, Unknown State"
10,Oakland Coliseum,"Unknown City, Unknown State"
2394,Comerica Park,"Unknown City, Unknown State"
3,Fenway Park,"Unknown City, Unknown State"
3289,Citi Field,"Unknown City, Unknown State"
4,Guaranteed Rate Field,"Unknown City, Unknown State"
5381,London Stadium,"Unknown City, Unknown State"
7,Kauffman Stadium,"Unknown City, Unknown State"
5325,Globe Life Field,"Unknown City, Unknown State"
15,Chase Field,"Unknown City, Unknown State"
5340,Estadio Alfredo Harp Helu,"Unknown City, Unknown State"
2395,Oracle Park,"Unknown City, Unknown State"
12,Tropicana Field,"Unknown City, Unknown State"
680,T-Mobile Park,"Unknown City, Unknown State"
31,PNC Park,"Unknown City, Unknown State"
2602,Great American Ball Park,"Unknown City, Unknown State"
19,Coors Field,"Unknown City, Unknown State"
2735,Muncy Bank Ballpark,"Unknown City, Unknown State"
4705,Truist Park,"Unknown City, Unknown State"
2681,Citizens Bank Park,"Unknown City, Unknown State"
14,Rogers Centre,"Unknown City, Unknown State"
22,Dodger Stadium,"Unknown City, Unknown State"
32,American Family Field,"Unknown City, Unknown State"
4169,loanDepot park,"Unknown City, Unknown State"
3,Fenway Park,"Unknown City, Unknown State"
2889,Busch Stadium,"Unknown City, Unknown State"
2,Oriole Park at Camden Yards,"Unknown City, Unknown State"
2602,Great American Ball Park,"Unknown City, Unknown State"
10,Oakland Coliseum,"Unknown City, Unknown State"
3312,Target Field,"Unknown City, Unknown State"
19,Coors Field,"Unknown City, Unknown State"
5340,Estadio Alfredo Harp Helu,"Unknown City, Unknown State"
5381,London Stadium,"Unknown City, Unknown State"
31,PNC Park,"Unknown City, Unknown State"
12,Tropicana Field,"Unknown City, Unknown State"
3309,Nationals Park,"Unknown City, Unknown State"
17,Wrigley Field,"Unknown City, Unknown State"
3313,Yankee Stadium,"Unknown City, Unknown State"
2394,Comerica Park,"Unknown City, Unknown State"
2680,Petco Park,"Unknown City, Unknown State"
1,Angel Stadium,"Unknown City, Unknown State"
2735,Muncy Bank Ballpark,"Unknown City, Unknown State"
680,T-Mobile Park,"Unknown City, Unknown State"
4169,loanDepot park,"Unknown City, Unknown State"
2392,Minute Maid Park,"Unknown City, Unknown State"
5325,Globe Life Field,"Unknown City, Unknown State"
22,Dodger Stadium,"Unknown City, Unknown State"
4705,Truist Park,"Unknown City, Unknown State"
2395,Oracle Park,"Unknown City, Unknown State"
2681,Citizens Bank Park,"Unknown City, Unknown State"
4,Guaranteed Rate Field,"Unknown City, Unknown State"
14,Rogers Centre,"Unknown City, Unknown State"
7,Kauffman Stadium,"Unknown City, Unknown State"
3289,Citi Field,"Unknown City, Unknown State"
15,Chase Field,"Unknown City, Unknown State"
5,Progressive Field,"Unknown City, Unknown State"
32,American Family Field,"Unknown City, Unknown State"
